track_name;id;album_name;artist_name;popularity;decade;genre;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;uri;track_href;analysis_url;duration_ms;time_signature
The Joker;1bp2IO61zbQrbWNmKKxg3f;The Joker;Steve Miller Band;77;1970;['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock'];0.596;0.448;5;-9.616;1;0.0396;0.365;5.3e-06;0.206;0.796;83.293;audio_features;spotify:track:1bp2IO61zbQrbWNmKKxg3f;https://api.spotify.com/v1/tracks/1bp2IO61zbQrbWNmKKxg3f;https://api.spotify.com/v1/audio-analysis/1bp2IO61zbQrbWNmKKxg3f;264504;4
Don't Stop Me Now - Remastered 2011;7hQJA50XrCWABAu5v6QZ4i;Jazz (Deluxe Remastered Version);Queen;73;1970;['classic rock', 'glam rock', 'rock'];0.563;0.865;5;-5.277;1;0.16;0.0472;0.000191;0.77;0.601;156.271;audio_features;spotify:track:7hQJA50XrCWABAu5v6QZ4i;https://api.spotify.com/v1/tracks/7hQJA50XrCWABAu5v6QZ4i;https://api.spotify.com/v1/audio-analysis/7hQJA50XrCWABAu5v6QZ4i;209413;4
Tiny Dancer;2TVxnKdb3tqe1nhQWwwZCO;Madman Across The Water;Elton John;79;1970;['glam rock', 'mellow gold', 'piano rock', 'soft rock'];0.414;0.428;0;-11.097;1;0.0278;0.382;0.000243;0.148;0.282;145.075;audio_features;spotify:track:2TVxnKdb3tqe1nhQWwwZCO;https://api.spotify.com/v1/tracks/2TVxnKdb3tqe1nhQWwwZCO;https://api.spotify.com/v1/audio-analysis/2TVxnKdb3tqe1nhQWwwZCO;377093;4
Highway to Hell;2zYzyRzz6pRmhPzyfMEC8s;Highway to Hell;AC/DC;83;1970;['australian rock', 'hard rock', 'rock'];0.574;0.913;6;-4.793;0;0.133;0.061;0.00158;0.156;0.423;115.728;audio_features;spotify:track:2zYzyRzz6pRmhPzyfMEC8s;https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s;https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s;208400;4
American Girl;7MRyJPksH3G2cXHN8UKYzP;Tom Petty & The Heartbreakers;Tom Petty and the Heartbreakers;76;1970;['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'soft rock'];0.55;0.824;2;-5.988;1;0.0334;0.448;0.000127;0.366;0.777;114.512;audio_features;spotify:track:7MRyJPksH3G2cXHN8UKYzP;https://api.spotify.com/v1/tracks/7MRyJPksH3G2cXHN8UKYzP;https://api.spotify.com/v1/audio-analysis/7MRyJPksH3G2cXHN8UKYzP;214733;4
Brandy (You're a Fine Girl);2BY7ALEWdloFHgQZG6VMLA;Looking Glass;Looking Glass;75;1970;[];0.716;0.625;1;-11.369;0;0.0601;0.396;1.97e-05;0.134;0.826;125.276;audio_features;spotify:track:2BY7ALEWdloFHgQZG6VMLA;https://api.spotify.com/v1/tracks/2BY7ALEWdloFHgQZG6VMLA;https://api.spotify.com/v1/audio-analysis/2BY7ALEWdloFHgQZG6VMLA;186827;4
Go Your Own Way - 2004 Remaster;4xh7W7tlNMIczFhupCPniY;Rumours (Super Deluxe);Fleetwood Mac;74;1970;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.586;0.941;5;-5.139;1;0.0375;0.0167;0.000776;0.068;0.831;135.448;audio_features;spotify:track:4xh7W7tlNMIczFhupCPniY;https://api.spotify.com/v1/tracks/4xh7W7tlNMIczFhupCPniY;https://api.spotify.com/v1/audio-analysis/4xh7W7tlNMIczFhupCPniY;223613;4
September;2grjqo0Frpf2okIBiifQKs;The Best Of Earth, Wind & Fire Vol. 1;Earth, Wind & Fire;80;1970;['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul'];0.697;0.832;9;-7.264;1;0.0298;0.168;0.00131;0.269;0.979;125.926;audio_features;spotify:track:2grjqo0Frpf2okIBiifQKs;https://api.spotify.com/v1/tracks/2grjqo0Frpf2okIBiifQKs;https://api.spotify.com/v1/audio-analysis/2grjqo0Frpf2okIBiifQKs;215093;4
(Don't Fear) The Reaper;5QTxFnGygVM4jFQiBovmRo;Agents Of Fortune;Blue Öyster Cult;76;1970;['album rock', 'classic rock', 'hard rock', 'metal', 'rock', 'soft rock'];0.333;0.927;9;-8.55;0;0.0733;0.0029;0.000208;0.297;0.385;141.466;audio_features;spotify:track:5QTxFnGygVM4jFQiBovmRo;https://api.spotify.com/v1/tracks/5QTxFnGygVM4jFQiBovmRo;https://api.spotify.com/v1/audio-analysis/5QTxFnGygVM4jFQiBovmRo;308120;4
Listen to the Music;7Ar4G7Ci11gpt6sfH9Cgz5;Toulouse Street;The Doobie Brothers;76;1970;['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.645;0.598;1;-13.18;0;0.0335;0.221;3.53e-06;0.0721;0.913;105.929;audio_features;spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5;https://api.spotify.com/v1/tracks/7Ar4G7Ci11gpt6sfH9Cgz5;https://api.spotify.com/v1/audio-analysis/7Ar4G7Ci11gpt6sfH9Cgz5;227267;4
Sweet Emotion;24NwBd5vZ2CK8VOQVnqdxr;Toys In The Attic;Aerosmith;75;1970;['album rock', 'classic rock', 'hard rock', 'rock'];0.38;0.76;9;-10.961;1;0.0378;0.00298;0.0294;0.104;0.491;99.437;audio_features;spotify:track:24NwBd5vZ2CK8VOQVnqdxr;https://api.spotify.com/v1/tracks/24NwBd5vZ2CK8VOQVnqdxr;https://api.spotify.com/v1/audio-analysis/24NwBd5vZ2CK8VOQVnqdxr;274133;4
Signed, Sealed, Delivered (I'm Yours);2eF8pWbiivYsYRpbntYsnc;Signed, Sealed And Delivered;Stevie Wonder;78;1970;['adult standards', 'funk', 'motown', 'quiet storm', 'soul'];0.675;0.597;5;-11.329;1;0.0337;0.0534;0.0;0.0986;0.828;108.875;audio_features;spotify:track:2eF8pWbiivYsYRpbntYsnc;https://api.spotify.com/v1/tracks/2eF8pWbiivYsYRpbntYsnc;https://api.spotify.com/v1/audio-analysis/2eF8pWbiivYsYRpbntYsnc;161160;4
Carry on Wayward Son;4DMKwE2E2iYDKY01C335Uw;Leftoverture (Expanded Edition);Kansas;76;1970;['album rock', 'art rock', 'bow pop', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock'];0.482;0.786;7;-5.735;1;0.032;0.00321;8.88e-05;0.446;0.793;126.755;audio_features;spotify:track:4DMKwE2E2iYDKY01C335Uw;https://api.spotify.com/v1/tracks/4DMKwE2E2iYDKY01C335Uw;https://api.spotify.com/v1/audio-analysis/4DMKwE2E2iYDKY01C335Uw;323000;4
Have You Ever Seen The Rain;5DnT9a5IM3eMjKgXTWVJvi;Pendulum;Creedence Clearwater Revival;72;1970;['classic rock', 'country rock', 'rock', 'roots rock', 'southern rock', 'swamp rock'];0.743;0.47;0;-13.154;1;0.029;0.0936;3.15e-05;0.186;0.89;116.122;audio_features;spotify:track:5DnT9a5IM3eMjKgXTWVJvi;https://api.spotify.com/v1/tracks/5DnT9a5IM3eMjKgXTWVJvi;https://api.spotify.com/v1/audio-analysis/5DnT9a5IM3eMjKgXTWVJvi;160333;4
Dancing Queen;0GjEhVFGZW8afUYGChu3Rr;Arrival;ABBA;80;1970;['europop', 'swedish pop'];0.543;0.87;9;-6.514;1;0.0428;0.358;0.000939;0.792;0.754;100.804;audio_features;spotify:track:0GjEhVFGZW8afUYGChu3Rr;https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr;https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr;230400;4
Dream On;5MxNLUsfh7uzROypsoO5qe;Aerosmith;Aerosmith;78;1970;['album rock', 'classic rock', 'hard rock', 'rock'];0.307;0.433;1;-10.057;1;0.029;0.388;9.08e-05;0.332;0.224;160.9;audio_features;spotify:track:5MxNLUsfh7uzROypsoO5qe;https://api.spotify.com/v1/tracks/5MxNLUsfh7uzROypsoO5qe;https://api.spotify.com/v1/audio-analysis/5MxNLUsfh7uzROypsoO5qe;266960;4
Three Little Birds;6A9mKXlFRPMPem6ygQSt7z;Exodus (Deluxe Edition);Bob Marley & The Wailers;79;1970;['reggae', 'roots reggae'];0.814;0.482;9;-10.493;1;0.0588;0.0111;1.57e-06;0.0476;0.615;148.404;audio_features;spotify:track:6A9mKXlFRPMPem6ygQSt7z;https://api.spotify.com/v1/tracks/6A9mKXlFRPMPem6ygQSt7z;https://api.spotify.com/v1/audio-analysis/6A9mKXlFRPMPem6ygQSt7z;180267;4
Free Bird;5EWPGh7jbTNO2wakv8LjUI;Pronounced' Leh-'Nerd 'Skin-'Nerd;Lynyrd Skynyrd;74;1970;['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock'];0.249;0.834;0;-8.21;1;0.0577;0.0738;9.48e-05;0.0924;0.338;118.223;audio_features;spotify:track:5EWPGh7jbTNO2wakv8LjUI;https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI;https://api.spotify.com/v1/audio-analysis/5EWPGh7jbTNO2wakv8LjUI;547107;4
Baba O'Riley;3qiyyUfYe7CRYLucrPmulD;Who's Next;The Who;77;1970;['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'roots rock'];0.489;0.724;5;-8.367;1;0.0352;0.313;0.185;0.287;0.15;117.292;audio_features;spotify:track:3qiyyUfYe7CRYLucrPmulD;https://api.spotify.com/v1/tracks/3qiyyUfYe7CRYLucrPmulD;https://api.spotify.com/v1/audio-analysis/3qiyyUfYe7CRYLucrPmulD;300400;4
Dancing in the Moonlight;0q21FNwES2bbtcduB6kjEU;Dancing in the Moonlight;King Harvest;71;1970;['soft rock'];0.657;0.435;10;-15.707;1;0.0552;0.739;0.0;0.167;0.771;135.975;audio_features;spotify:track:0q21FNwES2bbtcduB6kjEU;https://api.spotify.com/v1/tracks/0q21FNwES2bbtcduB6kjEU;https://api.spotify.com/v1/audio-analysis/0q21FNwES2bbtcduB6kjEU;181133;4
Immigrant Song - Remaster;78lgmZwycJ3nzsdgmPPGNx;Led Zeppelin III (Remaster);Led Zeppelin;77;1970;['album rock', 'classic rock', 'hard rock', 'rock'];0.564;0.932;11;-10.068;1;0.0554;0.013;0.169;0.349;0.619;112.937;audio_features;spotify:track:78lgmZwycJ3nzsdgmPPGNx;https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx;https://api.spotify.com/v1/audio-analysis/78lgmZwycJ3nzsdgmPPGNx;146250;4
Bennie And The Jets - Remastered 2014;5Wj1rJnCLpMHdLaxsFtJLs;Goodbye Yellow Brick Road (Remastered);Elton John;74;1970;['glam rock', 'mellow gold', 'piano rock', 'soft rock'];0.665;0.673;0;-7.95;1;0.0493;0.259;7.62e-06;0.497;0.779;132.642;audio_features;spotify:track:5Wj1rJnCLpMHdLaxsFtJLs;https://api.spotify.com/v1/tracks/5Wj1rJnCLpMHdLaxsFtJLs;https://api.spotify.com/v1/audio-analysis/5Wj1rJnCLpMHdLaxsFtJLs;322549;4
Rich Girl;0qRR9d89hIS0MHRkQ0ejxX;Bigger Than Both Of Us;Daryl Hall & John Oates;73;1970;['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.573;0.683;5;-6.644;1;0.176;0.461;0.0;0.0935;0.817;169.519;audio_features;spotify:track:0qRR9d89hIS0MHRkQ0ejxX;https://api.spotify.com/v1/tracks/0qRR9d89hIS0MHRkQ0ejxX;https://api.spotify.com/v1/audio-analysis/0qRR9d89hIS0MHRkQ0ejxX;142787;4
Wish You Were Here;6mFkJmJqdDVQ1REhVfGgd1;Wish You Were Here;Pink Floyd;76;1970;['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock'];0.481;0.262;7;-15.73;1;0.0414;0.735;0.0114;0.832;0.375;122.883;audio_features;spotify:track:6mFkJmJqdDVQ1REhVfGgd1;https://api.spotify.com/v1/tracks/6mFkJmJqdDVQ1REhVfGgd1;https://api.spotify.com/v1/audio-analysis/6mFkJmJqdDVQ1REhVfGgd1;334744;4
Beast Of Burden - Remastered 1994;77oU2rjC5XbjQfNe3bD6so;Some Girls;The Rolling Stones;74;1970;[];0.783;0.878;1;-3.864;0;0.0308;0.39;0.000778;0.0426;0.885;100.626;audio_features;spotify:track:77oU2rjC5XbjQfNe3bD6so;https://api.spotify.com/v1/tracks/77oU2rjC5XbjQfNe3bD6so;https://api.spotify.com/v1/audio-analysis/77oU2rjC5XbjQfNe3bD6so;265173;4
Simple Man;1ju7EsSGvRybSNEsRvc7qY;Pronounced' Leh-'Nerd 'Skin-'Nerd;Lynyrd Skynyrd;72;1970;['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock'];0.422;0.752;6;-8.682;1;0.0449;0.0366;0.000119;0.129;0.403;120.471;audio_features;spotify:track:1ju7EsSGvRybSNEsRvc7qY;https://api.spotify.com/v1/tracks/1ju7EsSGvRybSNEsRvc7qY;https://api.spotify.com/v1/audio-analysis/1ju7EsSGvRybSNEsRvc7qY;356627;4
Walk This Way;5SZ6zX4rOrEQferfFC2MfP;Toys In The Attic;Aerosmith;76;1970;['album rock', 'classic rock', 'hard rock', 'rock'];0.653;0.73;5;-10.613;1;0.043;0.0114;1.03e-05;0.0754;0.894;108.705;audio_features;spotify:track:5SZ6zX4rOrEQferfFC2MfP;https://api.spotify.com/v1/tracks/5SZ6zX4rOrEQferfFC2MfP;https://api.spotify.com/v1/audio-analysis/5SZ6zX4rOrEQferfFC2MfP;220400;4
American Pie;1fDsrQ23eTAVFElUMaf38X;American Pie;Don McLean;75;1970;['adult standards', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock'];0.531;0.481;4;-11.709;0;0.06;0.699;0.0;0.0842;0.491;138.45;audio_features;spotify:track:1fDsrQ23eTAVFElUMaf38X;https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X;https://api.spotify.com/v1/audio-analysis/1fDsrQ23eTAVFElUMaf38X;516893;4
Barracuda;4KfSdst7rW39C0sfhArdrz;Little Queen;Heart;74;1970;['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock'];0.547;0.691;4;-13.553;0;0.0369;0.015;0.105;0.144;0.667;137.148;audio_features;spotify:track:4KfSdst7rW39C0sfhArdrz;https://api.spotify.com/v1/tracks/4KfSdst7rW39C0sfhArdrz;https://api.spotify.com/v1/audio-analysis/4KfSdst7rW39C0sfhArdrz;261933;4
The Boys Are Back In Town;43DeSV93pJPT4lCZaWZ6b1;Jailbreak (Deluxe Edition);Thin Lizzy;75;1970;['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock'];0.445;0.706;8;-9.803;1;0.0461;0.234;0.000252;0.205;0.768;80.823;audio_features;spotify:track:43DeSV93pJPT4lCZaWZ6b1;https://api.spotify.com/v1/tracks/43DeSV93pJPT4lCZaWZ6b1;https://api.spotify.com/v1/audio-analysis/43DeSV93pJPT4lCZaWZ6b1;266720;4
Reelin' In The Years;1I7zHEdDx8Ny5RxzYPqsU2;Can't Buy A Thrill;Steely Dan;72;1970;['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'yacht rock'];0.523;0.758;2;-9.81;1;0.0403;0.133;0.0;0.0952;0.766;135.437;audio_features;spotify:track:1I7zHEdDx8Ny5RxzYPqsU2;https://api.spotify.com/v1/tracks/1I7zHEdDx8Ny5RxzYPqsU2;https://api.spotify.com/v1/audio-analysis/1I7zHEdDx8Ny5RxzYPqsU2;277267;4
Piano Man;70C4NyhjD5OZUMzvWZ3njJ;Piano Man (Legacy Edition);Billy Joel;76;1970;['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock'];0.331;0.55;0;-6.483;1;0.0272;0.605;3.96e-06;0.192;0.429;177.734;audio_features;spotify:track:70C4NyhjD5OZUMzvWZ3njJ;https://api.spotify.com/v1/tracks/70C4NyhjD5OZUMzvWZ3njJ;https://api.spotify.com/v1/audio-analysis/70C4NyhjD5OZUMzvWZ3njJ;339000;3
Life in the Fast Lane - 2013 Remaster;6gXrEUzibufX9xYPk3HD5p;Hotel California (2013 Remaster);Eagles;73;1970;['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.667;0.755;9;-7.246;1;0.069;0.0966;6.94e-05;0.0523;0.883;109.535;audio_features;spotify:track:6gXrEUzibufX9xYPk3HD5p;https://api.spotify.com/v1/tracks/6gXrEUzibufX9xYPk3HD5p;https://api.spotify.com/v1/audio-analysis/6gXrEUzibufX9xYPk3HD5p;286220;4
T.N.T.;7LRMbd3LEoV5wZJvXT1Lwb;High Voltage;AC/DC;78;1970;['australian rock', 'hard rock', 'rock'];0.754;0.759;9;-5.218;1;0.302;0.153;0.000108;0.101;0.435;126.366;audio_features;spotify:track:7LRMbd3LEoV5wZJvXT1Lwb;https://api.spotify.com/v1/tracks/7LRMbd3LEoV5wZJvXT1Lwb;https://api.spotify.com/v1/audio-analysis/7LRMbd3LEoV5wZJvXT1Lwb;214667;4
Stairway to Heaven - Remaster;5CQ30WqJwcep0pYcV4AMNc;Led Zeppelin IV (Deluxe Edition);Led Zeppelin;79;1970;['album rock', 'classic rock', 'hard rock', 'rock'];0.338;0.34;9;-12.049;0;0.0339;0.58;0.0032;0.116;0.197;82.433;audio_features;spotify:track:5CQ30WqJwcep0pYcV4AMNc;https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc;https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc;482830;4
Can't You See;4fUU9WKxEgJXyrZJsUA2iP;The Marshall Tucker Band;The Marshall Tucker Band;71;1970;['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock'];0.406;0.713;7;-5.49;1;0.0348;0.276;0.00354;0.112;0.577;164.444;audio_features;spotify:track:4fUU9WKxEgJXyrZJsUA2iP;https://api.spotify.com/v1/tracks/4fUU9WKxEgJXyrZJsUA2iP;https://api.spotify.com/v1/audio-analysis/4fUU9WKxEgJXyrZJsUA2iP;365093;4
Night Moves;6UBjSnyP1O5W5ndJoO9vUk;Night Moves;Bob Seger;72;1970;['album rock', 'blues rock', 'classic rock', 'country rock', 'detroit rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock'];0.705;0.743;1;-6.631;1;0.042;0.432;0.0133;0.103;0.374;118.552;audio_features;spotify:track:6UBjSnyP1O5W5ndJoO9vUk;https://api.spotify.com/v1/tracks/6UBjSnyP1O5W5ndJoO9vUk;https://api.spotify.com/v1/audio-analysis/6UBjSnyP1O5W5ndJoO9vUk;324423;4
Fire and Rain - 2019 Remaster;1oht5GevPN9t1T3kG1m1GO;Sweet Baby James (2019 Remaster);James Taylor;73;1970;['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock'];0.597;0.271;5;-17.293;1;0.0394;0.766;0.0119;0.0933;0.338;76.271;audio_features;spotify:track:1oht5GevPN9t1T3kG1m1GO;https://api.spotify.com/v1/tracks/1oht5GevPN9t1T3kG1m1GO;https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO;203613;4
Midnight Rider;1hHGUdFaiJHw9hVZGJWYO2;Idlewild South (Deluxe Edition Remastered);Allman Brothers Band;71;1970;['album rock', 'blues rock', 'classic rock', 'country rock', 'double drumming', 'electric blues', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock'];0.585;0.532;7;-9.673;1;0.0268;0.209;0.00797;0.227;0.68;94.461;audio_features;spotify:track:1hHGUdFaiJHw9hVZGJWYO2;https://api.spotify.com/v1/tracks/1hHGUdFaiJHw9hVZGJWYO2;https://api.spotify.com/v1/audio-analysis/1hHGUdFaiJHw9hVZGJWYO2;180067;4
Into the Mystic - 2013 Remaster;3lh3iiiJeiBXHSZw6u0kh6;Moondance;Van Morrison;73;1970;['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock'];0.608;0.524;8;-10.266;1;0.0309;0.367;0.00254;0.115;0.797;86.204;audio_features;spotify:track:3lh3iiiJeiBXHSZw6u0kh6;https://api.spotify.com/v1/tracks/3lh3iiiJeiBXHSZw6u0kh6;https://api.spotify.com/v1/audio-analysis/3lh3iiiJeiBXHSZw6u0kh6;205613;4
My Sharona;1HOMkjp0nHMaTnfAkslCQj;Get The Knack;The Knack;73;1970;[];0.586;0.7;0;-9.558;1;0.0363;0.0589;0.00125;0.0318;0.897;147.245;audio_features;spotify:track:1HOMkjp0nHMaTnfAkslCQj;https://api.spotify.com/v1/tracks/1HOMkjp0nHMaTnfAkslCQj;https://api.spotify.com/v1/audio-analysis/1HOMkjp0nHMaTnfAkslCQj;295400;4
How Deep Is Your Love;2JoZzpdeP2G6Csfdq5aLXP;Greatest;Bee Gees;75;1970;['disco', 'mellow gold', 'soft rock'];0.633;0.357;5;-9.366;0;0.0264;0.105;0.0;0.133;0.674;104.938;audio_features;spotify:track:2JoZzpdeP2G6Csfdq5aLXP;https://api.spotify.com/v1/tracks/2JoZzpdeP2G6Csfdq5aLXP;https://api.spotify.com/v1/audio-analysis/2JoZzpdeP2G6Csfdq5aLXP;245200;4
